"対象","言語","科目","No","タイトル","公開日","URL","長さ"
"小中学生","英語版","プログラミング",0,"Introduction　イントロダクション","2019-03-25T06:24:39.000Z","https://www.youtube.com/watch?v=3pyDSyOwDfs","00:00:44"
"小中学生","英語版","プログラミング",1,"what is programming?","2019-03-25T06:23:57.000Z","https://www.youtube.com/watch?v=6riJfLLf7xU","00:01:45"
"小中学生","英語版","プログラミング",2,"How computer understand code","2019-03-25T06:25:21.000Z","https://www.youtube.com/watch?v=K29EEOqATeY","00:01:51"
"小中学生","英語版","プログラミング",3,"Introduction with BASIC","2019-03-25T06:25:07.000Z","https://www.youtube.com/watch?v=yE4Tm3mflKA","00:00:48"
"小中学生","英語版","プログラミング",4,"Programming Environment","2019-03-25T06:25:07.000Z","https://www.youtube.com/watch?v=r1Gu5SHZjWw","00:02:07"
"小中学生","英語版","プログラミング",5,"Write first program","2019-03-25T06:25:07.000Z","https://www.youtube.com/watch?v=UclH07a0Z0w","00:01:59"
"小中学生","英語版","プログラミング",6,"Display messages on Screen","2019-03-25T06:25:07.000Z","https://www.youtube.com/watch?v=MUACiQtEpbA","00:06:12"
"小中学生","英語版","プログラミング",7,"Error in Programming","2019-03-25T06:25:07.000Z","https://www.youtube.com/watch?v=cqty1AQYorM","00:02:38"
"小中学生","英語版","プログラミング",8,"data type","2019-03-25T06:25:07.000Z","https://www.youtube.com/watch?v=ahcXdzGrrqg","00:03:31"
"小中学生","英語版","プログラミング",9,"variable","2019-03-25T06:26:04.000Z","https://www.youtube.com/watch?v=ag_lbA8qj5U","00:02:12"
"小中学生","英語版","プログラミング",10,"mathematical operator","2019-03-25T06:26:04.000Z","https://www.youtube.com/watch?v=LA2YaaNZC4o","00:04:37"
"小中学生","英語版","プログラミング",11,"Relational and Logical operator","2019-03-25T06:26:04.000Z","https://www.youtube.com/watch?v=n_uSWCVqC2g","00:04:27"
"小中学生","英語版","プログラミング",14,"The for loop","2019-03-27T06:57:29.000Z","https://www.youtube.com/watch?v=8lsbomQb2pY","00:02:49"
"小中学生","英語版","プログラミング",13,"conditional statements","2019-03-27T06:57:34.000Z","https://www.youtube.com/watch?v=8uLOnjf2OM8","00:04:06"
"小中学生","英語版","プログラミング",12,"input from keyboard","2019-03-27T06:57:40.000Z","https://www.youtube.com/watch?v=h7vXtr-HLOk","00:02:02"