"国語（１）","えんぴつとなかよくなろう","https://youtu.be/H_aZRDq9Qxg","小学１年",
"算数（１）","さんすうをはじめよう","https://youtu.be/VPLHk-Ydg9g","小学１年","2020-04-16"
"国語（１）","だいじなことをおとさずに話したり聞いたりしよう","https://youtu.be/ZlXwZpfM9Bs","小学２年",
"算数（１）","はこの形","https://youtu.be/_yncog6eojs","小学３年",
"外国語活動（１）","自己紹介（１）","https://youtu.be/US5KCPV-eBQ","小学３年","2020-04-16"
"算数（１）","間の数","https://youtu.be/BbH7_X5WoT4","小学４年",
"外国語（１）","自己紹介（１）","https://youtu.be/qBVZRRrwx1A","小学５年",
"算数（１）","直方体と立方体","https://youtu.be/CEOgvDD1Fnk","小学５年","2020-04-16"
"外国語（１）","自己紹介（１）","https://youtu.be/kTyZ0B4Z6w0","小学６年",
"国語（１）","国語の学習","https://youtu.be/dbjPxUPO6Dg","中学１年",
"数学（１）","正の数・負の数","https://youtu.be/EaJwC4nE4aM","中学１年",
"英語（１）","中学校でしたいこと","https://youtu.be/tEMJhIVZYT0","中学１年","2020-04-16"
"数学（１）","立体の体積","https://youtu.be/dyiusQ5pbQA","中学２年",
"英語（１）","思い出","https://youtu.be/DYfwKLbmYzo","中学２年",
"理科（１）","地層から読み取る大地の変化","https://youtu.be/Q7ok9YayiA0","中学２年","2020-04-16"
"英語（１）","好きなこと","https://youtu.be/OEp8-75Hflc","中学３年",
"理科（１）","発電機のしくみ","https://youtu.be/u8jaIYOiMBU","中学３年",
"国語（１）","古典の復習","https://youtu.be/BWJvtuJdJ68","中学３年","2020-04-16"
"第１回","オリエンテーション
            学習の仕方等","https://youtu.be/sC0FIsUMhyk","高校１年",
"第１回","オリエンテーション
            学習の仕方等","https://youtu.be/DQHDWG9qciY","福井県庁",
"第２回","整式","https://youtu.be/nps0iJVyTZo","福井県庁",
"第３回","整式の加法と減法および乗法","https://youtu.be/g0mAEnV9pNU","福井県庁",
"第４回","展開の公式","https://youtu.be/jez2hwMau1M","福井県庁",
"第５回","式の展開の工夫","https://youtu.be/pQivGGfubxM","福井県庁","2020-04-16"
"第６回","因数分解（１）(x+a)(x+b)","https://youtu.be/svgDv-ncoAY","福井県庁","2020-04-16"
"第７回","因数分解（２）(ax+b)(cx+d)","https://youtu.be/-QCMTiAQeIo","福井県庁","2020-04-16"
"第１回","オリエンテーション
            学習の仕方等","https://youtu.be/I_OS0LCGNUw",,
"第２回","英語の語順","https://youtu.be/RiSyTzHTts0",,
"第３回","品詞","https://youtu.be/-DXObTgGmwc",,"2020-04-16"