"URL","タイトル","提供","機材"
"https://www.youtube.com/embed/5y7NomVCqvw","01 IchigoJamでなわとびさっちゃん","PCN","IchigoJam"
"https://www.youtube.com/embed/x5fTYdXPPrI","02 IchigoJamでなわとびさっちゃん 改造 前編","PCN","IchigoJam"
"https://www.youtube.com/embed/muBY_fhB0JA","02 IchigoJamでなわとびさっちゃん 改造 後編","PCN","IchigoJam"
"https://www.youtube.com/embed/Ru0m_0QvXR0","03 IchigonQuestでぼうけんづくり その１","PCN","IchigonQuest"
"https://www.youtube.com/embed/sogT5849cFc","03 IchigonQuestでぼうけんづくり その２","PCN","IchigonQuest"
"https://www.youtube.com/embed/8uHYdFhsWGg","03 IchigonQuestでぼうけんづくり その３","PCN","IchigonQuest"
"https://www.youtube.com/embed/ztavgxfZBN8","04 IchigonQuestで距離センサー 前編","PCN","IchigonQuest"
"https://www.youtube.com/embed/vodA0OPo348","04 IchigonQuestで距離センサー 後編","PCN","IchigonQuest"
"https://www.youtube.com/embed/438qMGOKhtU","06 IchigonJamでLEDをあやつろう","PCN","IchigoJam"
"https://www.youtube.com/embed/eUvHjX42-I0","07 スクラッチをつかってみよう","PCN","Scratch"
"https://www.youtube.com/embed/Eu1RMH1ZYhA","08 暗くなったら光るライトを作ろう！","PCN","IchigoJam,センサー"
"https://www.youtube.com/embed/3W6fa7-GOwI","09 ライントレースでロボットを自動運転させよう！","PCN","IchigoJam,MapleSyrup,ロボット"
"https://www.youtube.com/embed/spG8HCkNIMg","10 LEDで絵を描こう! IchigonQuest -- micro:bit","PCN","IchigonQuest,micro:bit"
"https://www.youtube.com/embed/a2mhmkzXH64","11 でんぱで指令を送ろう! IchigonQuest -- micro:bit","PCN","IchigonQuest,micro:bit"