"タイトル","公開日","URL","長さ","科目","対象","プレイリストタイトル"
"微分方程式入門①(微分方程式とは)","2020-04-21T06:13:19Z","https://www.youtube.com/watch?v=po97dnBfoco","00:33:15","数学","大人","微分方程式"
"微分方程式入門②(変数分離形)","2020-04-23T14:52:01Z","https://www.youtube.com/watch?v=uPRY-KUl4fg","00:36:45","数学","大人","微分方程式"
"微分方程式入門③(同次形)","2020-04-29T15:03:58Z","https://www.youtube.com/watch?v=QeYOiFU6UNs","00:21:34","数学","大人","微分方程式"
"生物学を教養として学ぶべき理由【教養として学ぶ生物学】","2020-04-02T19:29:31.000Z","https://www.youtube.com/watch?v=Cy9breHH-wg","00:13:02","生物","大人","教養として学ぶ生物学"
"真核細胞と原核細胞【教養として学ぶ生物学】","2020-04-03T20:40:08.000Z","https://www.youtube.com/watch?v=fdKR9Ke9a3w","00:18:26","生物","大人","教養として学ぶ生物学"
"中学で習うことでもノーベル賞！？ノーベル化学賞全解説①(1901~1920)","2020-03-07T11:29:43.000Z","https://www.youtube.com/watch?v=xs-n7x9SQP8","00:31:31","化学","大人","ノーベル化学賞全解説"
"少し重い原子の発見とその大胆な活用法！ノーベル化学賞全解説②(1921~1940)","2020-03-15T05:57:12.000Z","https://www.youtube.com/watch?v=RRtOb7YdrIs","00:27:53","化学","大人","ノーベル化学賞全解説"
"炭素を用いて歴史に迫る！？ノーベル化学賞全解説③(1941~1960)","2020-03-21T16:14:38.000Z","https://www.youtube.com/watch?v=OxyOkEiMLlw","00:25:05","化学","大人","ノーベル化学賞全解説"
"不可逆過程に散逸構造！カッコいい言葉が並ぶノーベル化学賞全解説④(1961~1980)","2020-03-29T08:09:52.000Z","https://www.youtube.com/watch?v=DigF7CNHf-4","00:30:09","化学","大人","ノーベル化学賞全解説"
"フロンティア軌道理論に軌道対称性保存則！？ノーベル化学賞全解説⑤(1981~2000)","2020-04-04T17:49:41.000Z","https://www.youtube.com/watch?v=uz76DW2Wz-A","00:29:14","化学","大人","ノーベル化学賞全解説"
"死の生物学とは何か？ノーベル化学賞全解説⑥(2001~2019)","2020-04-11T16:08:22.000Z","https://www.youtube.com/watch?v=V0qix3u0Gs8","00:35:48","化学","大人","ノーベル化学賞全解説"
"中学数学からはじめる微分積分","2020-02-22T17:00:48Z","https://www.youtube.com/watch?v=4p1rwfXbCoY","01:46:23","数学","大人","大型授業"
"中学数学からはじめる相対性理論","2020-02-22T17:00:48Z","https://www.youtube.com/watch?v=voFHToRM4xI","02:03:08","数学","大人","大型授業"
"現在から宇宙の終焉まで【宇宙の歴史②(未来編)】","2020-02-22T17:00:48Z","https://www.youtube.com/watch?v=o5DeLXaYNZM","00:21:30","物理","大人","大型授業"
"宇宙創生から現在まで【宇宙の歴史①(過去編)】","2020-02-22T17:00:48Z","https://www.youtube.com/watch?v=1qUrdcRkRLc","00:25:41","物理","大人","大型授業"
"目視から回転歯車まで！光の速さはどう測る？","2020-02-22T17:00:48Z","https://www.youtube.com/watch?v=p3MrNShSq-Y","00:23:48","物理","大人","大型授業"
"熱力学入門①(概観と魅力)","2020-02-15T05:12:43Z","https://www.youtube.com/watch?v=438x0ZS4bV4","00:25:44","物理","大人","熱力学・熱化学"
"熱力学入門②(仕事と熱：熱力学第一法則)","2020-02-17T14:32:59Z","https://www.youtube.com/watch?v=A4YBZR-f_ug","00:37:09","物理","大人","熱力学・熱化学"
"熱力学入門③(エンタルピー)","2020-03-02T10:18:07Z","https://www.youtube.com/watch?v=1WwFlK6jjQE","00:24:35","物理","大人","熱力学・熱化学"
"熱力学入門④(エントロピー)","2020-03-17T18:27:21Z","https://www.youtube.com/watch?v=gUdHEZGwsuw","00:42:27","物理","大人","熱力学・熱化学"
"熱力学入門⑤(ヘルムホルツの自由エネルギー)","2020-04-08T09:33:52Z","https://www.youtube.com/watch?v=N1tub3Ofh1E","00:22:46","物理","大人","熱力学・熱化学"
"仕事と熱の分子論的解釈(第二法則の気持ち)","2020-02-07T13:38:09Z","https://www.youtube.com/watch?v=BQ6ABXrexNc","00:13:14","物理","大人","熱力学・熱化学"
"物理学の根幹を揺るがす思考実験(マクスウェルの悪魔)","2020-04-29T04:37:08Z","https://www.youtube.com/watch?v=AFx6CqYtbwQ","00:23:18","物理","大人","熱力学・熱化学"
"宇宙創生から現在まで【宇宙の歴史①(過去編)】","2020-01-12T01:56:07Z","https://www.youtube.com/watch?v=1qUrdcRkRLc","00:25:41","物理","大人","宇宙"
"現在から宇宙の終焉まで【宇宙の歴史②(未来編)】","2020-01-18T16:47:47Z","https://www.youtube.com/watch?v=o5DeLXaYNZM","00:21:30","物理","大人","宇宙"
"目視から回転歯車まで！光の速さはどう測る？","2020-01-23T18:27:46Z","https://www.youtube.com/watch?v=p3MrNShSq-Y","00:23:48","物理","大人","宇宙"
"もしも生徒が全員予備校講師だったら","2020-02-22T08:56:52Z","https://www.youtube.com/watch?v=LkyIr5fcnpI","00:57:40","物理","大人","宇宙"
"電子の予言と発見！ノーベル物理学賞全解説①(1901~1920)","2019-11-16T18:28:31.000Z","https://www.youtube.com/watch?v=OOiuRvJRUz4","00:33:22","物理","大人","ノーベル物理学賞全解説"
"光は粒子なのか波なのか？ノーベル物理学賞全解説②(1921~1940)","2019-11-16T18:28:31.000Z","https://www.youtube.com/watch?v=fpRG9rebfVI","00:40:07","物理","大人","ノーベル物理学賞全解説"
"反粒子の発見！ノーベル物理学賞全解説③(1941~1960)","2019-11-16T18:28:31.000Z","https://www.youtube.com/watch?v=Z8WMuKA56Ec","00:43:27","物理","大人","ノーベル物理学賞全解説"
"ついに見つかるビッグバンの痕跡！ノーベル物理学賞全解説④(1961~1980)","2019-11-23T19:57:42.000Z","https://www.youtube.com/watch?v=N4b7bs9vp8A","00:46:10","物理","大人","ノーベル物理学賞全解説"
"幽霊粒子をついに捉えた人類！ノーベル物理学賞全解説⑤(1981~2000)","2019-11-23T20:25:31.000Z","https://www.youtube.com/watch?v=jnwgExcxkRY","00:34:00","物理","大人","ノーベル物理学賞全解説"
"正しかった100年越しの予言！ノーベル物理学賞解説⑥(2001~2019)","2019-12-07T18:02:00.000Z","https://www.youtube.com/watch?v=T9JoFxo45ZA","00:42:36","物理","大人","ノーベル物理学賞全解説"
"レーザー冷却の原理(ドップラー冷却法)【物性物理】","2019-09-23T11:37:03.000Z","https://www.youtube.com/watch?v=kBEwOVH4PBU","00:10:01","物理","大人","物性物理"
"電気伝導の古典論(ドルーデ模型)","2019-10-23T14:57:25.000Z","https://www.youtube.com/watch?v=qp0KFIth4Qw","00:12:25","物理","大人","物性物理"
"グラフ理論①(一筆書きの定理)","2019-09-07T11:57:31.000Z","https://www.youtube.com/watch?v=PFcuUpBwgtE","00:23:28","数学","大人","離散数学"
"グラフ理論②(オイラーの多面体定理)","2019-09-07T11:58:00.000Z","https://www.youtube.com/watch?v=8ko9EAVeg4U","00:27:33","数学","大人","離散数学"
"グラフ理論③(グラフの彩色問題)","2019-09-18T11:52:51.000Z","https://www.youtube.com/watch?v=Tsy9Y8DgIZY","00:32:19","数学","大人","離散数学"
"グラフ理論④(パーティ問題)","2019-09-11T05:30:30.000Z","https://www.youtube.com/watch?v=1UeJEw5N06w","00:15:10","数学","大人","離散数学"
"グラフ理論⑤(ダイクストラのアルゴリズム)","2019-09-17T05:49:33.000Z","https://www.youtube.com/watch?v=X1AsMlJdiok","00:15:08","数学","大人","離散数学"
"グラフ理論⑥(ホールの結婚定理)","2019-12-13T16:55:01.000Z","https://www.youtube.com/watch?v=-W7QTRk0Yic","00:15:34","数学","大人","離散数学"
"物理で生物を考えるwith情報理論【学術対談】","2019-03-21T06:08:14.000Z","https://www.youtube.com/watch?v=fTMOwXPlXKg","00:12:10","物理","大人","学術対談"
"幾何学が物理学に教えてくれること【学術対談】","2019-03-23T08:24:59.000Z","https://www.youtube.com/watch?v=tEBKxx9bcNQ","00:14:40","物理","大人","学術対談"
"電子を愛してやまない男に物性実験の魅力を聞いてみた【学術対談】","2019-03-30T16:25:22.000Z","https://www.youtube.com/watch?v=LxHBQiY-XbQ","00:14:13","物理","大人","学術対談"
"光を当てて電子をみる【学術対談】","2019-04-28T10:33:36.000Z","https://www.youtube.com/watch?v=FKvXpuNHU14","00:16:42","物理","大人","学術対談"
"26歳の東北大助教に聞く！物理の興味の変遷【学術対談】","2019-05-11T05:22:40.000Z","https://www.youtube.com/watch?v=jTB-_bxv8ps","00:15:22","物理","大人","学術対談"
"非線形なのに解ける？【学術対談】","2019-08-02T05:17:01.000Z","https://www.youtube.com/watch?v=UNKg96RLDFg","00:12:16","数学","大人","学術対談"
"数学だらけの物理の世界！離散可積分系について聞いてみた【学術対談】","2019-09-24T23:46:48.000Z","https://www.youtube.com/watch?v=PeUMTrnNRsM","00:13:32","数学","大人","学術対談"
"数学者、偏微分方程式を語る【学術対談】","2019-10-12T03:43:52.000Z","https://www.youtube.com/watch?v=esXNiukF8OM","00:13:10","数学","大人","学術対談"
"超越数って何だろう？","2018-12-27T14:43:34.000Z","https://www.youtube.com/watch?v=ucIFer-8Z0k","00:09:43","数学","大人","数学(その他)"
"eが超越数であることの証明","2018-12-27T14:43:34.000Z","https://www.youtube.com/watch?v=_DJfeP0cmI8","00:34:07","数学","大人","数学(その他)"
"3×3の魔方陣が1種類しか存在しないことの証明","2018-12-27T14:43:34.000Z","https://www.youtube.com/watch?v=1_pfASO7eWA","00:13:57","数学","大人","数学(その他)"
"面積最大が正三角形であることの証明","2019-04-11T19:31:25.000Z","https://www.youtube.com/watch?v=3HWXyv0thOw","00:14:30","数学","大人","数学(その他)"
"アルキメデスの螺旋(極座標における曲線の長さ)","2019-05-03T17:47:22.000Z","https://www.youtube.com/watch?v=SrPng-C0zwE","00:13:42","数学","大人","数学(その他)"
"全受験生が理解するべき！偏差値とは何か","2019-05-16T19:41:16.000Z","https://www.youtube.com/watch?v=Xt7VN0xCbt8","00:18:34","数学","大人","数学(その他)"
"3次方程式の解の公式(カルダノの公式)","2019-06-04T16:37:09.000Z","https://www.youtube.com/watch?v=d_fyW_fTbTk","00:22:52","数学","大人","数学(その他)"
"1+1=2の証明が難しいって本当？(ペアノの公理)","2019-07-14T17:08:16.000Z","https://www.youtube.com/watch?v=6XUNqeiJmrg","00:18:43","数学","大人","数学(その他)"
"双子素数は無限に存在するか？","2019-07-20T08:29:50.000Z","https://www.youtube.com/watch?v=9sbQEdFds34","00:11:27","数学","大人","数学(その他)"
"蝉と素数の関係【素数ゼミ】","2019-08-09T17:35:57.000Z","https://www.youtube.com/watch?v=6axMxUS-qgQ","00:12:53","数学","大人","数学(その他)"
"発散する点があったら諦める？(広義積分への招待)","2019-09-23T15:54:24.000Z","https://www.youtube.com/watch?v=jNDyKLJsZfY","00:07:17","数学","大人","数学(その他)"
"行列指数関数への招待","2019-10-01T12:34:12.000Z","https://www.youtube.com/watch?v=utSsCamAMmk","00:12:48","数学","大人","数学(その他)"
"オイラーの等式はなぜ美しいのか？","2019-10-22T15:25:15.000Z","https://www.youtube.com/watch?v=rYf8I-D-oo0","00:11:07","数学","大人","数学(その他)"
"コーシーの関数方程式/Cauchy's functional equation","2020-01-07T17:55:50.000Z","https://www.youtube.com/watch?v=8o7zGW-OyGE","00:24:28","数学","大人","数学(その他)"
"abc予想の主張を理解する","2020-04-24T09:16:12.000Z","https://www.youtube.com/watch?v=PIUCfN08p8M","00:22:45","数学","大人","数学(その他)"
"今週の積分#1【難易度★★】","2018-12-02T16:28:40.000Z","https://www.youtube.com/watch?v=vm7LcyupMs0","00:06:51","数学","大人","今週の積分"
"今週の積分#2【難易度★★】","2018-12-03T00:37:35.000Z","https://www.youtube.com/watch?v=cORrgWIjr9g","00:09:55","数学","大人","今週の積分"
"今週の積分#3【難易度★★★★】","2018-12-11T14:55:35.000Z","https://www.youtube.com/watch?v=GJKxttevVWg","00:11:05","数学","大人","今週の積分"
"今週の積分#4【難易度★】","2018-12-19T00:41:30.000Z","https://www.youtube.com/watch?v=duS2oHnKY5A","00:06:38","数学","大人","今週の積分"
"今週の積分#5【難易度★★★】","2018-12-24T00:31:10.000Z","https://www.youtube.com/watch?v=Jdyl8l4WD3c","00:08:34","数学","大人","今週の積分"
"今週の積分#6【難易度★★★★】","2018-12-31T06:54:42.000Z","https://www.youtube.com/watch?v=_D0DNmmNGB4","00:13:59","数学","大人","今週の積分"
"今週の積分#7【難易度★★】","2019-01-25T11:55:06.000Z","https://www.youtube.com/watch?v=K5uN-nlDRDk","00:07:27","数学","大人","今週の積分"
"今週の積分#8【難易度★★】","2019-01-14T16:21:02.000Z","https://www.youtube.com/watch?v=qcgQ4Ns-8ns","00:07:43","数学","大人","今週の積分"
"今週の積分#9【難易度★★】","2019-01-21T10:01:54.000Z","https://www.youtube.com/watch?v=NwAkTeXq4xA","00:08:37","数学","大人","今週の積分"
"今週の積分#10【難易度★★★】","2019-01-27T23:25:08.000Z","https://www.youtube.com/watch?v=YGbuDXXa6dk","00:10:17","数学","大人","今週の積分"
"今週の積分#11【難易度★★】","2019-02-04T02:23:13.000Z","https://www.youtube.com/watch?v=MPoJJBuaue0","00:07:19","数学","大人","今週の積分"
"今週の積分#12【難易度★★】","2019-02-11T11:13:54.000Z","https://www.youtube.com/watch?v=7ThUG6oHXNY","00:06:25","数学","大人","今週の積分"
"今週の積分#13【難易度★★★★】","2019-02-17T23:28:37.000Z","https://www.youtube.com/watch?v=J68nbrjuib4","00:11:58","数学","大人","今週の積分"
"今週の積分#14【難易度★★★★★】","2019-02-25T14:58:11.000Z","https://www.youtube.com/watch?v=26EXOUgtgOg","00:11:41","数学","大人","今週の積分"
"今週の積分#15【難易度★★】","2019-03-04T11:33:51.000Z","https://www.youtube.com/watch?v=-rE1TzUbWR0","00:05:28","数学","大人","今週の積分"
"今週の積分#16【難易度★】","2019-03-11T00:02:30.000Z","https://www.youtube.com/watch?v=svLK-c2HAKU","00:06:38","数学","大人","今週の積分"
"今週の積分#17【難易度★★】","2019-03-18T00:31:48.000Z","https://www.youtube.com/watch?v=UJv9-EmFnUU","00:09:10","数学","大人","今週の積分"
"今週の積分#18【難易度★★】","2019-03-24T04:05:00.000Z","https://www.youtube.com/watch?v=8EdkdPTl4K0","00:08:33","数学","大人","今週の積分"
"今週の積分#19【難易度★】","2019-03-31T18:28:53.000Z","https://www.youtube.com/watch?v=OhjwhgRUmZg","00:07:01","数学","大人","今週の積分"
"今週の積分#20【難易度★★★】","2019-04-07T17:06:48.000Z","https://www.youtube.com/watch?v=DK5Y3_VStpM","00:08:16","数学","大人","今週の積分"
"今週の積分#21【難易度★★★】","2019-04-10T06:19:41.000Z","https://www.youtube.com/watch?v=3QuOrb7y9xY","00:08:07","数学","大人","今週の積分"
"今週の積分#22【難易度★★★★★】","2019-04-20T19:10:17.000Z","https://www.youtube.com/watch?v=bwNJ8mVhlF4","00:10:41","数学","大人","今週の積分"
"今週の積分#23【難易度★★★】","2019-04-28T11:28:12.000Z","https://www.youtube.com/watch?v=Wcvc2tNCf5I","00:06:05","数学","大人","今週の積分"
"今週の積分#24【難易度★★】","2019-05-05T08:20:19.000Z","https://www.youtube.com/watch?v=A-rzWwTXhZw","00:05:14","数学","大人","今週の積分"
"今週の積分#25【難易度★★★★】","2019-05-13T03:45:20.000Z","https://www.youtube.com/watch?v=hTP0e0we6QQ","00:06:29","数学","大人","今週の積分"
"今週の積分#26【難易度★★★】","2019-05-19T16:21:51.000Z","https://www.youtube.com/watch?v=8M-lpX8eeDg","00:08:07","数学","大人","今週の積分"
"今週の積分#27【難易度★★★】","2019-05-26T19:55:54.000Z","https://www.youtube.com/watch?v=cX7yhN7sXa8","00:06:43","数学","大人","今週の積分"
"今週の積分#28【難易度★★★★★】","2019-06-03T09:55:56.000Z","https://www.youtube.com/watch?v=YkbuXTr4w_Y","00:18:40","数学","大人","今週の積分"
"今週の積分#29【難易度★★】","2019-06-09T11:12:27.000Z","https://www.youtube.com/watch?v=MiDsoc19v3c","00:06:40","数学","大人","今週の積分"
"今週の積分#30【難易度★★★】","2019-06-16T15:25:23.000Z","https://www.youtube.com/watch?v=gDcqOTdqEd4","00:05:11","数学","大人","今週の積分"
"今週の積分#31【難易度★★★★★】","2019-06-29T19:10:01.000Z","https://www.youtube.com/watch?v=NZ1lPPmx89k","00:09:39","数学","大人","今週の積分"
"今週の積分#32【難易度★★】","2019-07-07T08:04:35.000Z","https://www.youtube.com/watch?v=s8XM-hd9wso","00:08:39","数学","大人","今週の積分"
"今週の積分#33【難易度★★★】","2019-07-14T16:49:27.000Z","https://www.youtube.com/watch?v=dWqp40UfP2o","00:07:52","数学","大人","今週の積分"
"今週の積分#34【難易度★★★】","2019-07-21T18:06:26.000Z","https://www.youtube.com/watch?v=nt-_BIbU0bA","00:12:50","数学","大人","今週の積分"
"今週の積分#35【難易度★★】","2019-08-04T13:27:29.000Z","https://www.youtube.com/watch?v=JgXNlWM2XVc","00:08:59","数学","大人","今週の積分"
"今週の積分#36【難易度★】","2019-08-13T08:56:01.000Z","https://www.youtube.com/watch?v=PComPe7Sdc8","00:06:24","数学","大人","今週の積分"
"今週の積分#37【難易度★★】","2019-08-18T12:54:28.000Z","https://www.youtube.com/watch?v=VoskvNUId8M","00:06:13","数学","大人","今週の積分"
"今週の積分#38【難易度★★★★★】","2019-08-29T17:57:20.000Z","https://www.youtube.com/watch?v=_Cx6pncAJv4","00:13:50","数学","大人","今週の積分"
"今週の積分#39【難易度★】","2019-08-29T17:57:36.000Z","https://www.youtube.com/watch?v=4yjUDxOvUSM","00:03:56","数学","大人","今週の積分"
"今週の積分#40【難易度★★】","2019-09-15T13:31:37.000Z","https://www.youtube.com/watch?v=Ob1hxQCtMAU","00:05:22","数学","大人","今週の積分"
"今週の積分#41【難易度★★】","2019-09-19T16:54:30.000Z","https://www.youtube.com/watch?v=7SxMtZPw8Fg","00:05:47","数学","大人","今週の積分"
